Name:MohamedSaied
Date: 2020-07-3

IMAGE NO., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, KEYPOINTS ON VEHICLE, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHED KEYPOINTS, MATCHER ELAPSED TIME
2, HARRIS, ORB, 113, 0, 12.9398, 0.155672, 0, 0.006817
3, HARRIS, ORB, 121, 0, 13.2214, 0.151803, 0, 0.007321
4, HARRIS, ORB, 160, 0, 15.197, 0.16843, 0, 0.008454
5, HARRIS, ORB, 383, 0, 33.8049, 0.187526, 0, 0.007869
6, HARRIS, ORB, 85, 0, 12.4723, 0.148873, 0, 0.006805
7, HARRIS, ORB, 210, 0, 15.5635, 0.168101, 0, 0.007488
8, HARRIS, ORB, 171, 0, 14.5611, 0.165523, 0, 0.007427
9, HARRIS, ORB, 281, 0, 21.4126, 0.157094, 0, 0.006673

0, HARRIS, FREAK, 115, 0, 13.3739, 0.001497, 0, 0
1, HARRIS, FREAK, 98, 0, 12.6338, 0.001193, 0, 0.00784
2, HARRIS, FREAK, 113, 0, 12.7208, 0.001193, 0, 0.008887
3, HARRIS, FREAK, 121, 0, 19.2241, 0.003521, 0, 0.008159
4, HARRIS, FREAK, 160, 0, 21.7892, 0.00139, 0, 0.008338
5, HARRIS, FREAK, 383, 0, 47.5934, 0.001581, 0, 0.00951
6, HARRIS, FREAK, 85, 0, 19.0233, 0.001312, 0, 0.009687
7, HARRIS, FREAK, 210, 0, 25.1056, 0.001679, 0, 0.009191
8, HARRIS, FREAK, 171, 0, 22.2261, 0.002655, 0, 0.009856
9, HARRIS, FREAK, 281, 0, 32.3944, 0.001751, 0, 0.009974

0, HARRIS, SIFT, 115, 0, 42.5672, 57.7379, 0, 0
1, HARRIS, SIFT, 98, 0, 41.1977, 40.6585, 0, 0.009108
2, HARRIS, SIFT, 113, 0, 72.3832, 73.9002, 0, 0.010763
3, HARRIS, SIFT, 121, 0, 31.7077, 27.8163, 0, 0.008875
4, HARRIS, SIFT, 160, 0, 20.6794, 21.8104, 0, 0.007954
5, HARRIS, SIFT, 383, 0, 39.6163, 23.3534, 0, 0.008187
6, HARRIS, SIFT, 85, 0, 19.0252, 23.1033, 0, 0.010762
7, HARRIS, SIFT, 210, 0, 22.9535, 24.3265, 0, 0.009154
8, HARRIS, SIFT, 171, 0, 20.6948, 23.2055, 0, 0.009757
9, HARRIS, SIFT, 281, 0, 27.8972, 22.9432, 0, 0.008566

0, FAST, BRISK, 1824, 149, 0.971013, 2.97791, 0, 0
1, FAST, BRISK, 1832, 152, 1.33671, 2.24363, 97, 0.760665
2, FAST, BRISK, 1810, 150, 0.919328, 2.17647, 104, 0.768495
3, FAST, BRISK, 1817, 155, 0.932809, 2.31636, 101, 0.784555
4, FAST, BRISK, 1793, 149, 0.94808, 3.15053, 98, 0.759688
5, FAST, BRISK, 1796, 149, 1.26059, 1.90041, 85, 0.772174
6, FAST, BRISK, 1788, 156, 0.84724, 2.08537, 107, 0.959046
7, FAST, BRISK, 1695, 150, 0.884806, 1.90186, 107, 0.785552
8, FAST, BRISK, 1749, 138, 0.897915, 1.79461, 100, 0.730212
9, FAST, BRISK, 1770, 143, 0.920586, 6.85308, 100, 1.14121

0, FAST, BRIEF, 1824, 149, 1.39928, 1.33313, 0, 0
1, FAST, BRIEF, 1832, 152, 1.28607, 1.33599, 119, 0.777427
2, FAST, BRIEF, 1810, 150, 1.5288, 1.29641, 130, 1.21518
3, FAST, BRIEF, 1817, 155, 1.3409, 1.31469, 118, 0.70856
4, FAST, BRIEF, 1793, 149, 1.6798, 1.24894, 126, 0.745448
5, FAST, BRIEF, 1796, 149, 1.29716, 1.28595, 108, 0.740239
6, FAST, BRIEF, 1788, 156, 1.42046, 1.3003, 123, 0.713254
7, FAST, BRIEF, 1695, 150, 4.71154, 1.41758, 131, 0.762641
8, FAST, BRIEF, 1749, 138, 1.30984, 1.18133, 125, 0.659014
9, FAST, BRIEF, 1770, 143, 1.55721, 1.27955, 119, 0.603651

0, FAST, ORB, 1824, 149, 1.32013, 2.49101, 0, 0
1, FAST, ORB, 1832, 152, 1.33102, 1.7109, 118, 0.742623
2, FAST, ORB, 1810, 150, 1.23994, 1.82445, 123, 0.756008
3, FAST, ORB, 1817, 155, 1.3194, 2.02357, 112, 0.741102
4, FAST, ORB, 1793, 149, 1.28634, 1.67358, 126, 0.734283
5, FAST, ORB, 1796, 149, 1.31301, 1.70196, 106, 0.734458
6, FAST, ORB, 1788, 156, 1.22127, 1.62534, 122, 0.753509
7, FAST, ORB, 1695, 150, 0.891534, 1.08297, 122, 0.76244
8, FAST, ORB, 1749, 138, 0.909641, 1.05013, 123, 0.735443
9, FAST, ORB, 1770, 143, 1.73262, 1.02837, 119, 0.663346

0, FAST, FREAK, 1824, 149, 0.962301, 51.5191, 0, 0
1, FAST, FREAK, 1832, 152, 0.93626, 49.221, 98, 3.86114
2, FAST, FREAK, 1810, 150, 0.884718, 48.9298, 99, 0.750059
3, FAST, FREAK, 1817, 155, 1.21295, 48.68, 91, 0.954178
4, FAST, FREAK, 1793, 149, 0.880652, 47.7257, 98, 1.14195
5, FAST, FREAK, 1796, 149, 0.931881, 47.7437, 85, 0.732654
6, FAST, FREAK, 1788, 156, 0.880695, 48.4853, 99, 0.762606
