Name:MohamedSaied
Date: 2020-07-3

IMAGE NO., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, KEYPOINTS ON VEHICLE, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHED KEYPOINTS, MATCHER ELAPSED TIME
3, SIFT, FREAK, 1335, 137, 170.447, 49.974, 64, 0.575421
4, SIFT, FREAK, 1305, 134, 168.706, 50.0134, 66, 0.667864
5, SIFT, FREAK, 1370, 140, 173.819, 51.5993, 59, 0.62339
6, SIFT, FREAK, 1396, 137, 169.415, 52.5493, 59, 0.877261
7, SIFT, FREAK, 1382, 148, 169.959, 52.0836, 64, 0.665066
8, SIFT, FREAK, 1463, 159, 165.809, 50.5324, 65, 0.787405
9, SIFT, FREAK, 1422, 137, 175.463, 52.4634, 79, 0.730148

0, SIFT, SIFT, 1438, 138, 166.559, 87.2566, 0, 0
1, SIFT, SIFT, 1371, 132, 129.79, 90.3446, 82, 0.800484
2, SIFT, SIFT, 1380, 124, 169.973, 89.055, 81, 0.758215
3, SIFT, SIFT, 1335, 137, 124.252, 79.5556, 85, 0.767421
4, SIFT, SIFT, 1305, 134, 133.943, 94.5603, 93, 1.3862
5, SIFT, SIFT, 1370, 140, 166.665, 86.9389, 90, 0.833819
6, SIFT, SIFT, 1396, 137, 126.393, 81.0386, 81, 0.903089
7, SIFT, SIFT, 1382, 148, 123.747, 82.551, 82, 0.882866
8, SIFT, SIFT, 1463, 159, 123.659, 81.8487, 102, 0.994253
9, SIFT, SIFT, 1422, 137, 123.89, 83.0393, 104, 0.948952

